"","体长","头长","吻长","体高","尾柄长","尾柄高","眼球直径","D1.2","D1.3","D1.4","D2.4","D3.4","D3.5","D3.6","D4.5","D4.6","D5.6","D5.7","D5.8","D6.7","D6.8","D7.8","D7.9","D7.10","D8.9","D8.10","D9.10","group"
"DHL11",0.802357384735608,0.230984631414431,0.0654467309195103,0.328926803855171,0.0963141443084137,0.117218025527481,0.0459103933315968,0.266150039072675,0.180906486064079,0.232482417296171,0.202331336285491,0.364873665016931,0.227533211773899,0.312972128158375,0.526439176868976,0.250781453503517,0.356668403230008,0.0670747590518364,0.174329252409482,0.362985152383433,0.301250325605626,0.130958582964314,0.0916905444126074,0.151471737431623,0.166514717374316,0.095402448554311,0.129916644959625,"DHL"
"DHL12",0.835098011160395,0.245314064959222,0.0687508942624124,0.36357132637001,0.09493489769638,0.121190442123337,0.0583774502790099,0.279725282586922,0.187294319645157,0.242023179281728,0.221991701244813,0.386822149091429,0.235870653884676,0.348619258835313,0.559951352124768,0.258262984690228,0.401988839605094,0.0681070253255115,0.192373730147374,0.399842609815424,0.346258406066676,0.137501788524825,0.0953641436543139,0.167620546573186,0.160108742309343,0.0876377164115038,0.136285591644012,"DHL"
"DHL13",0.822166908663486,0.260457719698541,0.0724607619442716,0.353107930581484,0.0941021917997649,0.118647583488903,0.0607757726612736,0.273387264053101,0.178455368872295,0.247459033395561,0.223121067551684,0.375786489663279,0.229620410703174,0.336444721012238,0.547120237848303,0.252160685888128,0.384982368803153,0.0669294060706631,0.194150591163659,0.39597593860195,0.328216829150245,0.141879278158059,0.0960381663555279,0.155292816151559,0.165525824517735,0.0892622554103575,0.122104680909908,"DHL"
"DHL14",0.818682425626217,0.232623732455846,0.0677590490900544,0.342488751594923,0.0915989523873481,0.109865019139077,0.0494258276811497,0.269894567188235,0.184272379289504,0.249210932778188,0.203814384527567,0.374924451010678,0.247330602377275,0.331273923846619,0.553690148411792,0.284399973138137,0.369081995836411,0.0609764287153314,0.185884091061715,0.369417769122289,0.292794305285072,0.137264119266671,0.0979114901618427,0.154925794103821,0.181317574373783,0.119065207172117,0.126586528775771,"DHL"
"DHL15",0.821532172995781,0.225936181434599,0.0562368143459916,0.311642932489452,0.113726265822785,0.110363924050633,0.044501582278481,0.262592299578059,0.195279535864979,0.22567246835443,0.212486814345992,0.362869198312236,0.206948839662447,0.291337025316456,0.536919831223629,0.250329641350211,0.373285864978903,0.0722573839662447,0.183214662447257,0.392470991561181,0.347771624472574,0.133570675105485,0.109770569620253,0.170490506329114,0.167787447257384,0.11537447257384,0.118736814345992,"DHL"
"DHL16",0.811897530701175,0.235045556582596,0.0668823451736432,0.328205466789912,0.104317971741714,0.116004225538096,0.0539416347550508,0.267265284563581,0.173577182094282,0.229697609930015,0.221378581803777,0.361151459131124,0.214049914168757,0.310048857784233,0.529314670540077,0.241317839693648,0.378251683612835,0.0730886042519477,0.183876931202958,0.379704212333289,0.315000660240327,0.131916017430345,0.106694836920639,0.147563713191602,0.175821999207712,0.0994321933183679,0.117192658127558,"DHL"
"DHL17",0.812421456445532,0.240624379919307,0.073483696011641,0.332760103181427,0.114094847542827,0.11720351875124,0.0500033070970302,0.274026059924598,0.168198954957338,0.230570804947417,0.205569151398902,0.357827898670547,0.227131424035981,0.311396256366162,0.517428401349296,0.262186652556386,0.356571201799061,0.0639592565645876,0.184205304583636,0.367484621998809,0.294397777630796,0.140948475428269,0.106819234076328,0.156888683113963,0.170580064819102,0.11006018916595,0.111316886037436,"DHL"
"DHL18",0.818157561203389,0.249216196384497,0.0755786805416583,0.321526249082783,0.101394169835234,0.112534187178974,0.0514308585151091,0.286171703021813,0.184110466279768,0.220665732772997,0.225735441264759,0.367020212127276,0.202721632979788,0.308718564472017,0.536988859982656,0.250817156960843,0.365152424788206,0.0704422653592155,0.185578013474752,0.377826696017611,0.305583350010006,0.147955439930625,0.111333466746715,0.172103261957174,0.177773330665066,0.113668200920552,0.127076245747448,"DHL"
"LJ1",0.819044620367039,0.163817920115149,0.0396275638718964,0.239856962936308,0.109211946743433,0.107075386829795,0.0288997840949982,0.217209427851745,0.174568189996402,0.181427671824397,0.149491723641598,0.318594818279957,0.251754228139619,0.217659229938827,0.537783375314861,0.249865059373875,0.350598236775819,0.073452680820439,0.166764123785534,0.378440985966175,0.307507196833393,0.128508456279237,0.112090680100756,0.160197013314142,0.178076646275639,0.141327815761065,0.115644116588701,"LJ"
"LJ2",0.837090950444944,0.209848463309925,0.055099081681972,0.324737724959486,0.112557927956103,0.114889261649561,0.0328376879993177,0.228783441844597,0.207318113325562,0.178830352827453,0.191851704432377,0.356779347795184,0.244846899610497,0.30480766497029,0.55662013476246,0.266823984306144,0.38796804366986,0.0780428169334433,0.186819435362352,0.411281380604441,0.342194296761721,0.135416370511472,0.110255025161345,0.15702385352401,0.182355784266341,0.112245188070395,0.125437125067523,"LJ"
"LJ3",0.822588066874585,0.208957513165295,0.0583107520834398,0.288997392504729,0.110690730609949,0.114192954650033,0.0302929597627691,0.250396237026433,0.158980520476507,0.191957666547369,0.180607393016003,0.326831637609285,0.24423539035738,0.275116314740017,0.528426811186666,0.24809550590521,0.360166675187893,0.0846157779027558,0.189708062784396,0.380464236412904,0.311237793343218,0.135052916815788,0.107827598547983,0.15872488368526,0.174727746817322,0.11657037680863,0.123651515926172,"LJ"
