,全长,体长,头长,吻长,体高,尾柄长,尾柄高,眼球直径,D1-2,D1-3,D1-4,D2-4,D3-4,D3-5,D3-6,D4-5,D4-6,D5-6,D5-7,D5-8,D6-7,D6-8,D7-8,D7-9,D7-10,D8-9,D8-10,D9-10,group
WYS3,25.436,20.194,6.735,2.006,8.799,2.726,3.22,1.2,7.766,4.4,6.375,5.608,9.454,5.237,8.299,13.315,6.635,9.322,1.909,5.364,8.905,6.835,3.862,2.587,4.462,4.129,2.289,3.182,WYS
WYS4,26.083,20.388,7.035,2.158,9.769,2.025,3.467,1.102,8.169,4.55,7.001,6.193,10.075,5.867,9.423,13.403,5.788,10.117,1.974,5.504,9.893,7.985,3.883,2.153,4.336,4.476,2.151,3.914,WYS
WYS5,27.313,22.329,7.012,2.393,9.604,2.253,3.464,1.114,8.086,5.235,7.148,6.545,10.604,6.626,9.633,14.687,6.024,10.719,2.131,5.506,11.146,9.009,4.061,2.507,4.673,4.694,2.424,4.093,WYS
WYS6,24.81,19.171,6.188,1.943,9.472,1.938,3.415,1.157,7.766,4.573,6.676,5.944,9.539,5.507,9.165,13.27,5.821,10.328,1.542,5.744,9.861,7.392,4.196,1.708,3.931,4.727,2.207,3.56,WYS
WYS7,24.082,19.464,5.413,1.52,8.871,2.098,2.923,0.871,6.639,4.354,6.273,4.934,9.103,5.809,8.392,13.244,6.283,9.536,1.874,5.097,9.51,7.815,3.566,2.192,4.001,3.835,2.116,3.153,WYS
WYS8,31.027,25.444,6.448,1.839,8.008,2.994,3.374,1.197,7.938,5.338,6.673,5.73,10.212,6.905,7.798,16.402,7.231,11.156,2.414,5.182,12.331,10.383,3.898,3.216,4.807,5.393,3.432,4.264,WYS
WYS9,26.875,21.472,5.781,1.583,7.879,2.994,2.925,0.871,7.629,3.854,6.611,5.269,9.005,6.399,7.573,14.34,6.763,9.708,2.08,4.893,10.068,8.446,3.479,3.069,4.412,4.72,2.994,3.355,WYS
WYS10,31.473,24.859,7.86,2.561,9.851,2.529,3.798,10.023,9.561,5.303,7.623,6.222,11.266,7.66,9.609,16.775,8.043,11.124,2.064,5.775,11.615,9.443,4.341,2.6,4.784,5.3,3.013,4.165,WYS
WYS11,31.126,25.114,5.641,1.631,8.6,3.104,3.538,0.94,7.654,5.344,6.505,4.969,10.482,7.358,8.291,16.605,7.253,11.422,2.601,5.765,12.38,10.27,4.335,3.194,5.265,5.908,3.818,4.214,WYS
WYS12,28.716,22.754,5.498,1.557,8.281,2.305,3.321,1.11,7.282,4.202,5.668,5.183,9.311,7.115,8.086,14.921,7.161,10.047,2.563,5.4,11.088,9.576,3.776,2.614,4.265,4.874,3.029,3.471,WYS
WYS13,22.911,18.87,5.565,1.78,8.141,2.204,2.999,0.876,6.854,4.491,5.613,4.967,9.017,5.008,7.292,12.705,6.483,8.349,1.447,4.887,8.399,6.228,3.778,2.299,3.75,4.452,2.671,2.994,WYS
